Manufacturer,Model,Type,Price,MPG.city,AirBags,Horsepower,Passengers,Rear.seat.room,Luggage.room
Nissan,Altima,Compact,15.7,24,Driver only,150,5,28.5,14.0
Nissan,Quest,Van,19.1,17,Driver only,151,7,27.0,13.890243902439025
Nissan,Maxima,Midsize,21.5,21,Driver only,160,5,28.5,14.0
Oldsmobile,Achieva,Compact,13.5,24,Driver only,155,5,28.0,14.0
Oldsmobile,Cutlass_Ciera,Midsize,16.3,23,Driver only,110,5,28.0,16.0
Oldsmobile,Silhouette,Van,19.5,18,Driver only,170,7,30.5,13.890243902439025
Oldsmobile,Eighty-Eight,Large,20.7,19,Driver only,170,6,31.5,17.0
Plymouth,Laser,Sporty,14.4,23,Driver only,92,4,24.5,8.0
Pontiac,LeMans,Small,9.0,31,Driver only,74,4,25.5,17.0
Pontiac,Sunbird,Compact,11.1,23,Driver only,110,5,25.0,13.0
Pontiac,Firebird,Sporty,17.7,19,Driver & Passenger,160,4,25.0,13.0
Pontiac,Grand_Prix,Midsize,18.5,19,Driver only,200,5,28.5,16.0
Pontiac,Bonneville,Large,24.4,19,Driver & Passenger,170,6,30.5,18.0
Saab,900,Compact,28.7,20,Driver only,140,5,26.5,14.0
Saturn,SL,Small,11.1,28,Driver only,85,5,26.5,12.0
Subaru,Justy,Small,8.4,33,Driver only,73,4,23.5,10.0
Subaru,Loyale,Small,10.9,25,Driver only,90,5,27.5,15.0
Subaru,Legacy,Compact,19.5,23,Driver only,130,5,27.0,14.0
Suzuki,Swift,Small,8.6,39,Driver only,70,4,27.5,10.0
Toyota,Tercel,Small,9.8,32,Driver only,82,5,24.0,11.0
Toyota,Celica,Sporty,18.4,25,Driver only,135,4,23.0,13.0
Toyota,Camry,Midsize,18.2,22,Driver only,130,5,28.5,15.0
Toyota,Previa,Van,22.7,18,Driver only,138,7,35.0,13.890243902439025
Volkswagen,Fox,Small,9.1,25,Driver only,81,4,26.0,10.0
Volkswagen,Eurovan,Van,19.7,17,Driver only,109,7,34.0,13.890243902439025
Volkswagen,Passat,Compact,20.0,21,Driver only,134,5,31.5,14.0
Volkswagen,Corrado,Sporty,23.3,18,Driver only,178,4,26.0,15.0
Volvo,240,Compact,22.7,21,Driver only,114,5,29.5,14.0
Volvo,850,Midsize,26.7,20,Driver & Passenger,168,5,30.0,15.0
